distance_km,attack_strength,clean_acceptance_rate,attack_detection_rate,mean_clean_tvd,mean_attack_tvd,adaptive_threshold
10.0,0.2,0.96,1.0,0.067195730930931,0.07946022102102092,0.12444504529159657
25.0,0.2,0.96,1.0,0.0707548036036036,0.07937098618618622,0.11817121330478439
50.0,0.2,0.96,1.0,0.07041689609609611,0.07782487687687689,0.11598678180669521
100.0,0.2,0.96,1.0,0.0703073033033033,0.07340701261261258,0.14126670681159417
150.0,0.2,0.0,1.0,0.06682398558558561,0.07391441681681683,0.14270388929269912
200.0,0.2,0.0,1.0,0.06688051651651658,0.07297351351351342,0.16304762442432846
