distance_km,transmittance,loss_db,mean_fidelity
10.0,0.6309573444801932,2.0,0.9786398818186164
25.0,0.31622776601683794,5.0,0.9479117979476414
50.0,0.1,10.0,0.8998972902351935
100.0,0.01,20.0,0.8149146382105356
150.0,0.001,30.0,0.7430545863079113
200.0,0.0001,40.0,0.6825984256735803
